img, px, py
0.jpg,107,96
1.jpg,140,180
2.jpg,209,63
3.jpg,161,100
4.jpg,86,105
5.jpg,206,185
6.jpg,152,181
7.jpg,164,198
8.jpg,187,194
9.jpg,69,120
10.jpg,116,189
11.jpg,56,40
12.jpg,143,142
13.jpg,91,135
14.jpg,104,119
15.jpg,189,46
16.jpg,134,54
17.jpg,148,159
18.jpg,44,59
19.jpg,47,64
20.jpg,147,112
21.jpg,84,101
22.jpg,142,195
23.jpg,150,96
24.jpg,183,87
25.jpg,79,52
26.jpg,94,72
27.jpg,178,144
28.jpg,42,201
29.jpg,59,144
30.jpg,212,46
31.jpg,216,142
32.jpg,183,129
33.jpg,183,208
34.jpg,62,57
35.jpg,169,107
36.jpg,193,107
37.jpg,198,181
38.jpg,116,188
39.jpg,80,117
40.jpg,177,49
41.jpg,66,49
42.jpg,162,184
43.jpg,71,119
44.jpg,178,47
45.jpg,130,143
46.jpg,94,80
47.jpg,115,99
48.jpg,214,90
49.jpg,95,97
50.jpg,69,208
51.jpg,206,167
52.jpg,143,213
53.jpg,208,80
54.jpg,142,48
55.jpg,73,93
56.jpg,65,88
57.jpg,82,103
58.jpg,164,195
59.jpg,106,208
60.jpg,211,150
61.jpg,94,91
62.jpg,45,159
63.jpg,141,79
64.jpg,186,119
65.jpg,157,162
66.jpg,105,126
67.jpg,142,185
68.jpg,161,109
69.jpg,67,181
70.jpg,165,62
71.jpg,171,43
72.jpg,54,212
73.jpg,97,191
74.jpg,130,90
75.jpg,161,138
76.jpg,168,150
77.jpg,90,74
78.jpg,124,81
79.jpg,183,103
80.jpg,49,163
81.jpg,172,123
82.jpg,204,181
83.jpg,106,66
84.jpg,171,165
85.jpg,162,183
86.jpg,204,107
87.jpg,172,115
88.jpg,179,143
89.jpg,149,156
90.jpg,139,127
91.jpg,173,180
92.jpg,134,148
93.jpg,122,68
94.jpg,150,212
95.jpg,114,135
96.jpg,67,190
97.jpg,112,95
98.jpg,91,88
99.jpg,84,212
100.jpg,132,163
101.jpg,91,201
102.jpg,145,187
103.jpg,82,175
104.jpg,188,137
105.jpg,62,213
106.jpg,130,200
107.jpg,191,211
108.jpg,100,147
109.jpg,50,138
110.jpg,116,201
111.jpg,92,163
112.jpg,194,179
113.jpg,128,139
114.jpg,151,103
115.jpg,64,140
116.jpg,73,89
117.jpg,62,184
118.jpg,69,197
119.jpg,144,176
120.jpg,80,194
121.jpg,95,78
122.jpg,61,196
123.jpg,62,77
124.jpg,130,59
125.jpg,117,173
126.jpg,112,92
127.jpg,89,133
128.jpg,76,147
129.jpg,130,96
130.jpg,185,122
131.jpg,91,117
132.jpg,136,112
133.jpg,201,129
134.jpg,111,145
135.jpg,69,100
136.jpg,125,74
137.jpg,105,62
138.jpg,147,104
139.jpg,103,132
140.jpg,188,54
141.jpg,92,84
142.jpg,65,197
143.jpg,148,54
144.jpg,96,119
145.jpg,167,112
146.jpg,95,132
147.jpg,196,205
148.jpg,168,106
149.jpg,83,118
150.jpg,142,118
151.jpg,169,128
152.jpg,214,143
153.jpg,49,81
154.jpg,135,50
155.jpg,205,190
156.jpg,107,129
157.jpg,142,142
158.jpg,111,126
159.jpg,103,58
160.jpg,119,123
161.jpg,196,60
162.jpg,91,118
163.jpg,106,198
164.jpg,69,169
165.jpg,105,128
166.jpg,105,40
167.jpg,60,131
168.jpg,117,189
169.jpg,121,191
